,gene_name,GO_index,bnumber,go_name
0,rppH,GO:0050779,b2830,RNA destabilization
1,rppH,GO:0034353,b2830,RNA pyrophosphohydrolase activity
2,rppH,GO:0016818,b2830,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
3,rpiB,GO:0004751,b4090,ribose-5-phosphate isomerase activity
4,rpiB,GO:0004751,b4090,ribose-5-phosphate isomerase activity
5,rpiB,GO:0019316,b4090,D-allose catabolic process
6,dnaK,GO:0008270,b0014,zinc ion binding
7,dnaK,GO:0009408,b0014,response to heat
8,dnaJ,GO:0003756,b0015,protein disulfide isomerase activity
9,dnaJ,GO:0008270,b0015,zinc ion binding
10,dnaJ,GO:0006457,b0015,protein folding
11,dnaJ,GO:0042026,b0015,protein refolding
12,dnaJ,GO:0051082,b0015,unfolded protein binding
13,dnaJ,GO:0016020,b0015,membrane
14,dnaJ,GO:0005737,b0015,cytoplasm
15,dnaJ,GO:0008270,b0015,zinc ion binding
16,dnaJ,GO:0016020,b0015,membrane
17,dnaJ,GO:0008270,b0015,zinc ion binding
18,dnaJ,GO:0006260,b0015,DNA replication
19,dnaJ,GO:0009408,b0015,response to heat
20,rpsT,GO:0022627,b0023,cytosolic small ribosomal subunit
21,rihC,GO:0006974,b0030,cellular response to DNA damage stimulus
22,dapB,GO:0008652,b0031,cellular amino acid biosynthetic process
23,dapB,GO:0019877,b0031,diaminopimelate biosynthetic process
24,carA,GO:0005737,b0032,cytoplasm
25,carA,GO:0004088,b0032,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
26,carA,GO:0006541,b0032,glutamine metabolic process
27,carA,GO:0006526,b0032,arginine biosynthetic process
28,carA,GO:0006207,b0032,'de novo' pyrimidine nucleobase biosynthetic process
29,carB,GO:0005524,b0033,ATP binding
30,carB,GO:0004088,b0033,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
31,carB,GO:0004087,b0033,carbamoyl-phosphate synthase (ammonia) activity
32,carB,GO:0046872,b0033,metal ion binding
33,carB,GO:0019856,b0033,pyrimidine nucleobase biosynthetic process
34,carB,GO:0008652,b0033,cellular amino acid biosynthetic process
35,carB,GO:0004088,b0033,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
36,carB,GO:0000166,b0033,nucleotide binding
37,carB,GO:0000166,b0033,nucleotide binding
38,carB,GO:0016597,b0033,amino acid binding
39,caiF,GO:0009437,b0034,carnitine metabolic process
40,caiE,GO:0008735,b0035,carnitine dehydratase activity
41,caiE,GO:0009437,b0035,carnitine metabolic process
42,caiD,GO:0008809,b0036,carnitine racemase activity
43,caiD,GO:0042413,b0036,carnitine catabolic process
44,caiB,GO:0008735,b0038,carnitine dehydratase activity
45,caiB,GO:0042413,b0038,carnitine catabolic process
46,caiB,GO:0008735,b0038,carnitine dehydratase activity
47,fixA,GO:0009437,b0041,carnitine metabolic process
48,fixB,GO:0009437,b0042,carnitine metabolic process
49,fixC,GO:0050660,b0043,flavin adenine dinucleotide binding
50,fixC,GO:0051536,b0043,iron-sulfur cluster binding
51,fixC,GO:0004174,b0043,electron-transferring-flavoprotein dehydrogenase activity
52,fixC,GO:0009437,b0043,carnitine metabolic process
53,kefF,GO:0009055,b0046,electron transfer activity
54,kefC,GO:0006813,b0047,potassium ion transport
55,kefC,GO:0006885,b0047,regulation of pH
56,kefC,GO:0005887,b0047,integral component of plasma membrane
57,kefC,GO:0005887,b0047,integral component of plasma membrane
58,folA,GO:0042493,b0048,response to drug
59,apaH,GO:0008796,b0049,bis(5'-nucleosyl)-tetraphosphatase activity
60,apaH,GO:0015949,b0049,nucleobase-containing small molecule interconversion
61,apaH,GO:0008803,b0049,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity
62,surA,GO:0060274,b0053,maintenance of stationary phase
63,surA,GO:0006457,b0053,protein folding
64,surA,GO:0050821,b0053,protein stabilization
65,surA,GO:0003755,b0053,peptidyl-prolyl cis-trans isomerase activity
66,surA,GO:0043165,b0053,Gram-negative-bacterium-type cell outer membrane assembly
67,surA,GO:0030288,b0053,outer membrane-bounded periplasmic space
68,lptD,GO:0005515,b0054,protein binding
69,lptD,GO:0043165,b0054,Gram-negative-bacterium-type cell outer membrane assembly
70,lptD,GO:0015920,b0054,lipopolysaccharide transport
71,rluA,GO:0031118,b0058,rRNA pseudouridine synthesis
72,rluA,GO:0031119,b0058,tRNA pseudouridine synthesis
73,rluA,GO:0009451,b0058,RNA modification
74,rluA,GO:0009982,b0058,pseudouridine synthase activity
75,rluA,GO:0001522,b0058,pseudouridine synthesis
76,rluA,GO:0008033,b0058,tRNA processing
77,rluA,GO:0006364,b0058,rRNA processing
78,araA,GO:0019568,b0062,arabinose catabolic process
79,araA,GO:0008733,b0062,L-arabinose isomerase activity
80,araB,GO:0019568,b0063,arabinose catabolic process
81,araB,GO:0008741,b0063,ribulokinase activity
82,araB,GO:0008741,b0063,ribulokinase activity
83,araB,GO:0005737,b0063,cytoplasm
84,araB,GO:0016773,b0063,"phosphotransferase activity, alcohol group as acceptor"
85,araB,GO:0019572,b0063,L-arabinose catabolic process
86,araB,GO:0019568,b0063,arabinose catabolic process
87,araB,GO:0016052,b0063,carbohydrate catabolic process
88,araC,GO:0019568,b0064,arabinose catabolic process
89,setA,GO:0015767,b0070,lactose transport
90,setA,GO:0005351,b0070,sugar:proton symporter activity
91,setA,GO:1904659,b0070,glucose transmembrane transport
92,setA,GO:0016020,b0070,membrane
93,leuD,GO:0009316,b0071,3-isopropylmalate dehydratase complex
94,leuB,GO:0003862,b0073,3-isopropylmalate dehydrogenase activity
95,leuB,GO:0034198,b0073,cellular response to amino acid starvation
96,leuB,GO:0009098,b0073,leucine biosynthetic process
97,leuA,GO:0009098,b0074,leucine biosynthetic process
98,ftsI,GO:0008955,b0084,peptidoglycan glycosyltransferase activity
99,ftsI,GO:0008955,b0084,peptidoglycan glycosyltransferase activity
100,ftsI,GO:0031226,b0084,intrinsic component of plasma membrane
101,ftsI,GO:0005887,b0084,integral component of plasma membrane
102,ftsI,GO:0005515,b0084,protein binding
103,ftsI,GO:0032153,b0084,cell division site
104,ftsI,GO:0051301,b0084,cell division
105,ftsI,GO:0008658,b0084,penicillin binding
106,ftsI,GO:0042493,b0084,response to drug
108,murF,GO:0047480,b0086,UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
109,mraY,GO:0008963,b0087,phospho-N-acetylmuramoyl-pentapeptide-transferase activity
110,murD,GO:0005737,b0088,cytoplasm
111,ftsW,GO:0051301,b0089,cell division
112,ftsW,GO:0008360,b0089,regulation of cell shape
113,ftsW,GO:0032153,b0089,cell division site
114,ftsW,GO:0051301,b0089,cell division
115,ftsW,GO:0005515,b0089,protein binding
116,murG,GO:0050511,b0090,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
117,murG,GO:0050511,b0090,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
118,murC,GO:0008763,b0091,UDP-N-acetylmuramate-L-alanine ligase activity
119,murC,GO:0005515,b0091,protein binding
120,murC,GO:0000287,b0091,magnesium ion binding
121,murC,GO:0005524,b0091,ATP binding
122,ddlB,GO:0008716,b0092,D-alanine-D-alanine ligase activity
123,ddlB,GO:0008716,b0092,D-alanine-D-alanine ligase activity
