,gene_name,product,start,stop,strand,operon,length,cog
b0001,thrL,<i>thr</i> operon leader peptide,190,255,+,thrL;thrA;thrB;thrC,66,No COG Annotation
b0002,thrA,fused aspartate kinase/homoserine dehydrogenase 1,337,2799,+,thrL;thrA;thrB;thrC,2463,Amino acid transport and metabolism
b0003,thrB,homoserine kinase,2801,3733,+,thrL;thrA;thrB;thrC,933,Amino acid transport and metabolism
b0004,thrC,THRESYN-MONOMER,3734,5020,+,thrL;thrA;thrB;thrC,1287,Amino acid transport and metabolism
b0005,yaaX,DUF2502 domain-containing protein YaaX,5234,5530,+,yaaX,297,Function unknown
b0006,yaaA,peroxide stress resistance protein YaaA,5683,6459,-,yaaA,777,Function unknown
b0007,yaaJ,putative transporter YaaJ,6529,7959,-,yaaJ,1431,Amino acid transport and metabolism
b0008,talB,transaldolase B,8238,9191,+,talB,954,Carbohydrate transport and metabolism
b0009,mog,molybdopterin adenylyltransferase,9306,9893,+,mog,588,Coenzyme transport and metabolism
b0010,satP,acetate/succinate:H<sup>+</sup> symporter,9928,10494,-,satP,567,Function unknown
b0011,yaaW,putative enzyme-specific chaperone YaaW,10643,11356,-,yaaW,714,Function unknown
b0013,yaaI,DUF2541 domain-containing protein YaaI,11382,11786,-,yaaI,405,Function unknown
b0014,dnaK,chaperone protein DnaK,12163,14079,+,tpke11;dnaK;dnaJ,1917,"Posttranslational modification, protein turnover, chaperones"
b0015,dnaJ,chaperone protein DnaJ,14168,15298,+,tpke11;dnaK;dnaJ,1131,"Posttranslational modification, protein turnover, chaperones"
b0016,insL-1,IS186/IS421 transposase,15445,16557,+,insL-1,1113,"Replication, recombination and repair"
b0019,nhaA,Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA,17489,18655,+,nhaR;nhaA,1167,Inorganic ion transport and metabolism
b0020,nhaR,DNA-binding transcriptional activator NhaR,18715,19620,+,nhaR;nhaA,906,Transcription
b0022,insA-1,IS1 protein InsA,20233,20508,-,insA-1;insB-1;insAB-1,276,"Replication, recombination and repair"
b0023,rpsT,30S ribosomal subunit protein S20,20815,21078,-,rpsT,264,"Translation, ribosomal structure and biogenesis"
b0024,yaaY,DUF2575 domain-containing protein YaaY,21181,21399,+,yaaY,219,Function unknown
b0025,ribF,bifunctional riboflavin kinase / FMN adenylyltransferase,21407,22348,+,ribF;ileS;lspA;fkpB;ispH,942,Coenzyme transport and metabolism
b0026,ileS,isoleucine&mdash;tRNA ligase,22391,25207,+,ispH;fkpB;lspA;ileS;ribF,2817,"Translation, ribosomal structure and biogenesis"
b0027,lspA,lipoprotein signal peptidase,25207,25701,+,ispH;fkpB;lspA;ileS;ribF,495,Cell wall/membrane/envelope biogenesis
b0028,fkpB,peptidyl-prolyl <i>cis-trans</i> isomerase FkpB,25826,26275,+,ispH;fkpB;lspA;ileS;ribF,450,"Posttranslational modification, protein turnover, chaperones"
b0029,ispH,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,26277,27227,+,ispH;fkpB;lspA;ileS;ribF,951,Lipid transport and metabolism
b0030,rihC,ribonucleoside hydrolase RihC,27293,28207,+,rihC,915,Nucleotide transport and metabolism
b0031,dapB,4-hydroxy-tetrahydrodipicolinate reductase,28374,29195,+,dapB,822,Amino acid transport and metabolism
b0032,carA,carbamoyl phosphate synthetase subunit &alpha;,29651,30799,+,carA;carB,1149,Nucleotide transport and metabolism
b0033,carB,carbamoyl phosphate synthetase subunit &beta;,30817,34038,+,carB;carA,3222,Nucleotide transport and metabolism
b0034,caiF,DNA-binding transcriptional activator CaiF,34300,34695,+,caiF,396,Transcription
b0035,caiE,putative transferase CaiE,34781,35371,-,caiE;caiD;caiC;caiB;caiA;caiT,591,Function unknown
b0036,caiD,CARNRACE-MONOMER,35377,36162,-,caiE;caiD;caiC;caiB;caiA;caiT,786,Lipid transport and metabolism
b0037,caiC,carnitine&mdash;CoA ligase,36271,37824,-,caiE;caiD;caiC;caiB;caiA;caiT,1554,Lipid transport and metabolism
b0038,caiB,&gamma;-butyrobetainyl-CoA:carnitine CoA transferase,37898,39115,-,caiE;caiD;caiC;caiB;caiA;caiT,1218,Energy production and conversion
b0039,caiA,CROBETREDUCT-MONOMER,39244,40386,-,caiE;caiD;caiC;caiB;caiA;caiT,1143,Lipid transport and metabolism
b0040,caiT,L-carnitine:&gamma;-butyrobetaine antiporter,40417,41931,-,caiE;caiD;caiC;caiB;caiA;caiT,1515,Inorganic ion transport and metabolism
b0041,fixA,putative electron transfer flavoprotein FixA,42403,43173,+,fixX;fixC;fixB;fixA,771,Energy production and conversion
b0042,fixB,putative electron transfer flavoprotein FixB,43188,44129,+,fixX;fixC;fixB;fixA,942,Energy production and conversion
b0043,fixC,putative oxidoreductase FixC,44180,45466,+,fixX;fixC;fixB;fixA,1287,Energy production and conversion
b0044,fixX,putative ferredoxin FixX,45463,45750,+,fixX;fixC;fixB;fixA,288,Energy production and conversion
b0045,yaaU,putative transporter YaaU,45807,47138,+,yaaU,1332,Carbohydrate transport and metabolism
